scaffold1_size1534183	1534183	0.430424	8	Bacteria
scaffold2_size1255804	1255804	0.423743	7	Bacteria
scaffold3_size1208507	1208507	0.500739	14	Bacteria
scaffold4_size1204010	1204010	0.428072	9	Bacteria
scaffold5_size1189196	1189196	0.494236	12	Bacteria
scaffold6_size1018756	1018756	0.497414	12	Bacteria
scaffold7_size968285	968285	0.425509	7	Bacteria
scaffold8_size763136	763136	0.425194	8	Bacteria
scaffold9_size589582	589582	0.424524	7	Bacteria
scaffold10_size447749	447749	0.425783	8	Bacteria
scaffold11_size431226	431226	0.425707	8	Bacteria
scaffold14_size321927	321927	0.425211	6	Bacteria
scaffold15_size287491	287491	0.421801	6	Bacteria
scaffold16_size283682	283682	0.456279	86	Metazoa
scaffold17_size272228	272228	0.498325	13	Bacteria
scaffold18_size250760	250760	0.556361	4	Bacteria
scaffold19_size237592	237592	0.426386	7	Bacteria
scaffold20_size227593	227593	0.435396	88	Metazoa
scaffold21_size194381	194381	0.441756	90	Metazoa
scaffold22_size186749	186749	0.428672	5	Bacteria
scaffold23_size182404	182404	0.427397	6	Bacteria
scaffold25_size163903	163903	0.445294	96	Metazoa
scaffold26_size160134	160134	0.422502	6	Bacteria
scaffold27_size151773	151773	0.527004	3	Bacteria
scaffold28_size146765	146765	0.555521	3	Bacteria
scaffold29_size145666	145666	0.401720	45	Metazoa
scaffold30_size144244	144244	0.429800	95	Metazoa
scaffold31_size143422	143422	0.404485	49	Metazoa
scaffold34_size141483	141483	0.445354	99	Metazoa
scaffold35_size141275	141275	0.416033	73	other_eukaryote
scaffold37_size133809	133809	0.536010	3	Bacteria
scaffold38_size129736	129736	0.544036	4	Bacteria
scaffold39_size129586	129586	0.447587	80	Metazoa
scaffold40_size127313	127313	0.417882	45	Metazoa
scaffold41_size125519	125519	0.430381	7	Bacteria
scaffold42_size124478	124478	0.427690	53	Metazoa
scaffold44_size122668	122668	0.537818	4	Bacteria
scaffold45_size121266	121266	0.430393	84	Metazoa
scaffold47_size119243	119243	0.429644	86	Metazoa
scaffold48_size118896	118896	0.565696	5	Bacteria
scaffold50_size117968	117968	0.411083	43	Metazoa
scaffold51_size117904	117904	0.422123	39	Bacteria
scaffold53_size115723	115723	0.443568	88	Metazoa
scaffold55_size111397	111397	0.421214	46	Metazoa
scaffold56_size110511	110511	0.441422	89	Metazoa
scaffold57_size109677	109677	0.512158	4	Bacteria
scaffold58_size108248	108248	0.426530	89	Metazoa
scaffold59_size107527	107527	0.446455	89	Metazoa
scaffold60_size105423	105423	0.450253	95	Metazoa
scaffold61_size105421	105421	0.449977	89	Metazoa
scaffold64_size103141	103141	0.407743	45	Metazoa
scaffold65_size101633	101633	0.429314	40	Metazoa
scaffold66_size161584	161584	0.440758	93	Metazoa
scaffold68_size194443	194443	0.438151	86	Metazoa
scaffold69_size98318	98318	0.425415	49	Metazoa
scaffold71_size97503	97503	0.474283	83	Metazoa
scaffold72_size97172	97172	0.459196	39	Bacteria
scaffold74_size115697	115697	0.441259	94	Metazoa
scaffold75_size96021	96021	0.544121	4	Bacteria
scaffold76_size95878	95878	0.421014	91	Metazoa
scaffold78_size94633	94633	0.491953	16	Bacteria
scaffold79_size94346	94346	0.406313	3	Bacteria
scaffold80_size93979	93979	0.440567	95	Metazoa
scaffold81_size93674	93674	0.428305	71	other_eukaryote
scaffold82_size93496	93496	0.534408	4	Bacteria
scaffold84_size92828	92828	0.545385	4	Bacteria
scaffold86_size90611	90611	0.469126	72	Metazoa
scaffold87_size89407	89407	0.457986	84	Metazoa
scaffold88_size88985	88985	0.448543	42	Metazoa
scaffold90_size88835	88835	0.427759	90	Metazoa
scaffold91_size106674	106674	0.436461	42	Metazoa
scaffold92_size87812	87812	0.419036	90	Metazoa
scaffold93_size128521	128521	0.425593	54	Viridiplantae
scaffold94_size87648	87648	0.418891	41	Metazoa
scaffold95_size87462	87462	0.426231	85	Metazoa
scaffold97_size86464	86464	0.428314	42	Metazoa
scaffold98_size85863	85863	0.446840	61	Metazoa
scaffold100_size92086	92086	0.428409	86	Bacteria
scaffold101_size85112	85112	0.476525	75	Metazoa
scaffold102_size85064	85064	0.554841	3	Bacteria
scaffold103_size84902	84902	0.446797	92	Metazoa
scaffold104_size84685	84685	0.446407	44	Metazoa
scaffold106_size83185	83185	0.394602	42	Metazoa
scaffold107_size83135	83135	0.413929	45	Metazoa
scaffold108_size82648	82648	0.419611	41	Metazoa
scaffold109_size81232	81232	0.434706	76	Metazoa
scaffold110_size81064	81064	0.450595	80	Metazoa
scaffold111_size80684	80684	0.448590	87	Metazoa
scaffold113_size79795	79795	0.439852	44	Metazoa
scaffold114_size79283	79283	0.628483	18	Bacteria
scaffold115_size79125	79125	0.553921	3	Bacteria
scaffold117_size78986	78986	0.557073	4	Bacteria
scaffold118_size78841	78841	0.470631	81	Metazoa
scaffold120_size78564	78564	0.424024	43	Metazoa
scaffold123_size77953	77953	0.454659	81	Metazoa
scaffold124_size77603	77603	0.413219	2	Bacteria
scaffold125_size77279	77279	0.549205	6	Bacteria
scaffold126_size77140	77140	0.538696	3	Bacteria
scaffold127_size76803	76803	0.457475	82	Metazoa
scaffold128_size75893	75893	0.429091	71	other_eukaryote
scaffold131_size74231	74231	0.406811	3	Bacteria
scaffold132_size73900	73900	0.459567	80	Metazoa
scaffold133_size73521	73520	0.425422	81	Metazoa
scaffold134_size73428	73428	0.430272	82	Metazoa
scaffold135_size73422	73422	0.409700	93	Metazoa
scaffold136_size73043	73043	0.593418	5	Bacteria
scaffold137_size72766	72766	0.445469	67	Metazoa
scaffold138_size72741	72741	0.445870	93	Metazoa
scaffold139_size72626	72626	0.425192	100	Metazoa
scaffold140_size72570	72570	0.427753	91	Metazoa
scaffold141_size72104	72104	0.477782	71	Metazoa
scaffold143_size71522	71522	0.408891	45	Metazoa
scaffold144_size71485	71485	0.427852	47	other_eukaryote
scaffold145_size71233	71233	0.440526	94	Metazoa
scaffold147_size70760	70760	0.406882	45	Metazoa
scaffold148_size70678	70678	0.419041	90	Metazoa
scaffold149_size70455	70455	0.445348	81	Bacteria
scaffold151_size70127	70127	0.425442	46	Metazoa
scaffold152_size70078	70078	0.430577	85	Bacteria
scaffold153_size69966	69966	0.560272	5	Bacteria
scaffold154_size69776	69776	0.439062	36	Metazoa
scaffold155_size69759	69759	0.412047	89	Metazoa
scaffold156_size69691	69691	0.402304	43	Metazoa
scaffold157_size69596	69596	0.429407	41	Metazoa
scaffold159_size69294	69294	0.452839	93	Metazoa
scaffold161_size68824	68824	0.378080	2	Bacteria
scaffold162_size68776	68776	0.559759	2	Bacteria
scaffold163_size68461	68461	0.461299	88	Metazoa
scaffold165_size67758	67758	0.634789	4	Bacteria
scaffold166_size94641	94641	0.433996	36	Metazoa
scaffold167_size67546	67546	0.542045	3	Bacteria
scaffold169_size67251	67251	0.558490	4	Bacteria
scaffold170_size67002	67002	0.557222	4	Bacteria
scaffold171_size66953	66953	0.442728	79	Metazoa
scaffold173_size66825	66825	0.552233	5	Bacteria
scaffold174_size66636	66636	0.433882	82	Metazoa
scaffold175_size66585	66585	0.453856	76	Metazoa
scaffold176_size66574	66574	0.436567	107	Metazoa
scaffold177_size66573	66573	0.449101	72	Metazoa
scaffold180_size65781	65781	0.430474	43	Metazoa
scaffold181_size65723	65723	0.436779	81	Metazoa
scaffold182_size65465	65465	0.422730	85	Metazoa
scaffold183_size65416	65416	0.416473	91	Metazoa
scaffold184_size65293	65293	0.439695	40	Metazoa
scaffold186_size64746	64746	0.559587	3	Bacteria
scaffold187_size82271	82271	0.441473	86	Bacteria
scaffold188_size64570	64570	0.462785	90	Metazoa
scaffold189_size64484	64484	0.416072	44	Bacteria
scaffold190_size64481	64481	0.454273	82	Metazoa
scaffold192_size64333	64333	0.551956	4	Bacteria
scaffold194_size63856	63856	0.422441	87	Metazoa
scaffold195_size63650	63650	0.463158	72	Metazoa
scaffold196_size63487	63487	0.396963	90	Metazoa
scaffold198_size62889	62889	0.381005	2	Bacteria
scaffold199_size62883	62883	0.444667	73	Metazoa
scaffold200_size62844	62844	0.450831	65	Metazoa
scaffold201_size62785	62785	0.443148	74	Metazoa
scaffold202_size62635	62635	0.451425	76	Metazoa
scaffold204_size62504	62504	0.435444	84	Metazoa
scaffold205_size62308	62308	0.424023	43	Metazoa
scaffold206_size62200	62200	0.431576	39	Metazoa
scaffold208_size62102	62102	0.410132	46	Metazoa
scaffold209_size62046	62046	0.411211	37	Metazoa
scaffold210_size61735	61735	0.436559	7	Bacteria
scaffold212_size61192	61192	0.450647	76	Metazoa
scaffold213_size61093	61093	0.396117	36	Metazoa
scaffold214_size61030	61030	0.456104	36	Metazoa
scaffold215_size60928	60928	0.441406	87	Metazoa
scaffold216_size60741	60741	0.434797	41	Metazoa
scaffold217_size60726	60726	0.397243	2	Bacteria
scaffold218_size60537	60537	0.430728	44	Metazoa
scaffold220_size60095	60095	0.455129	42	Metazoa
scaffold221_size59910	59910	0.415724	88	Metazoa
scaffold222_size59556	59556	0.408825	44	Metazoa
scaffold225_size59419	59419	0.448594	40	Metazoa
scaffold226_size59296	59296	0.412844	85	Metazoa
scaffold227_size59193	59193	0.461609	78	Metazoa
scaffold228_size59162	59162	0.467124	74	Metazoa
scaffold229_size59153	59153	0.448058	90	Metazoa
scaffold230_size58782	58782	0.410006	88	Metazoa
scaffold231_size58701	58701	0.432275	91	Metazoa
scaffold232_size58605	58605	0.436567	86	Bacteria
scaffold233_size58574	58574	0.407416	3	Bacteria
scaffold234_size58547	58547	0.621945	21	Bacteria
scaffold235_size58060	58060	0.427024	40	Metazoa
scaffold236_size57965	57965	0.430846	65	Metazoa
scaffold237_size57804	57804	0.404885	2	Bacteria
scaffold238_size57744	57744	0.423247	37	Metazoa
scaffold240_size57699	57699	0.416472	56	Metazoa
scaffold241_size57589	57589	0.434232	102	Metazoa
scaffold242_size57548	57548	0.495360	4	Bacteria
scaffold243_size57441	57441	0.470761	69	Metazoa
scaffold244_size57352	57352	0.455468	76	Bacteria
scaffold246_size57261	57261	0.447565	77	Metazoa
scaffold247_size57249	57249	0.435361	92	Bacteria
scaffold248_size57140	57140	0.432832	6	Bacteria
scaffold249_size77345	77345	0.394609	92	Metazoa
scaffold250_size72059	72059	0.436981	100	Metazoa
scaffold251_size56944	56944	0.426953	49	Metazoa
scaffold252_size56922	56922	0.408032	83	Metazoa
scaffold253_size56769	56769	0.424246	84	Metazoa
scaffold254_size56757	56757	0.411914	45	Metazoa
scaffold255_size56745	56745	0.431016	39	Metazoa
scaffold256_size56640	56640	0.615378	19	Bacteria
scaffold257_size56491	56491	0.480962	75	Metazoa
scaffold258_size56471	56471	0.425351	45	other_eukaryote
scaffold259_size56411	56411	0.472177	60	Metazoa
scaffold260_size56374	56374	0.448292	79	Metazoa
scaffold261_size56334	56334	0.412575	47	Metazoa
scaffold262_size56234	56234	0.430345	73	Metazoa
scaffold264_size70290	70290	0.421303	46	Metazoa
scaffold266_size55943	55943	0.425076	90	Metazoa
scaffold267_size55804	55804	0.455872	57	Metazoa
scaffold268_size55517	55517	0.411928	80	Metazoa
scaffold269_size55502	55502	0.427318	75	Metazoa
scaffold270_size55412	55412	0.418159	83	Metazoa
scaffold271_size55404	55404	0.431224	80	Metazoa
scaffold272_size55360	55360	0.626319	17	Bacteria
scaffold273_size62921	62921	0.457549	90	Metazoa
scaffold276_size55076	55076	0.447654	77	Metazoa
scaffold277_size55065	55065	0.428730	4	Bacteria
scaffold279_size55024	55024	0.443170	96	Metazoa
scaffold280_size55002	55002	0.469383	71	Metazoa
scaffold281_size54939	54939	0.435683	73	Metazoa
scaffold282_size54697	54697	0.628334	21	Bacteria
scaffold283_size54662	54662	0.447383	70	Metazoa
scaffold284_size54511	54511	0.396874	99	Metazoa
scaffold285_size54483	54483	0.435677	87	Metazoa
scaffold287_size54410	54410	0.550616	5	Bacteria
scaffold288_size54204	54204	0.455501	73	Metazoa
scaffold289_size54158	54158	0.395646	95	Metazoa
scaffold290_size54139	54139	0.475961	60	Metazoa
scaffold291_size54117	54117	0.434928	73	Metazoa
scaffold292_size54081	54081	0.439359	43	Metazoa
scaffold293_size54036	54036	0.476627	72	Metazoa
scaffold294_size54001	54001	0.456029	90	Metazoa
scaffold295_size53965	53965	0.484314	71	Metazoa
scaffold296_size53940	53940	0.461921	88	Metazoa
scaffold297_size53791	53791	0.451116	38	Metazoa
scaffold299_size53752	53752	0.417677	88	Metazoa
scaffold300_size53387	53387	0.407908	43	other_eukaryote
scaffold301_size53378	53378	0.423246	86	other_eukaryote
scaffold302_size66504	66504	0.470128	87	Metazoa
scaffold303_size53230	53230	0.458106	79	Metazoa
scaffold306_size52563	52563	0.458631	87	Metazoa
scaffold308_size52495	52495	0.438727	5	Bacteria
scaffold309_size52076	52076	0.398840	3	Bacteria
scaffold310_size51905	51905	0.443695	81	Metazoa
scaffold311_size51900	51900	0.450000	75	Metazoa
